StoreA,StoreB,VisitorsStoreA,VisitorsStoreB,SharedVisitors,OverlapPercentage,CannibalizationPercentage,CannibalizationIndicator
S001,S002,996,983,982,98.5,99.9,High
S001,S003,996,970,967,96.8,99.69,High
S001,S004,996,985,981,98.1,99.59,High
S001,S005,996,975,972,97.3,99.69,High
S002,S003,983,970,954,95.5,98.35,High
S002,S004,983,985,968,96.8,98.47,High
S002,S005,983,975,960,96.19,98.46,High
S003,S004,970,985,956,95.7,98.56,High
S003,S005,970,975,946,94.69,97.53,High
S004,S005,985,975,960,96.0,98.46,High
