DeviceID,Latitude,Longitude,Timestamp
D00301,16.307749,80.439845,2026-09-09 21:26:14.144090
D00035,16.300969,80.442035,2026-09-09 21:26:16.696785
D00197,16.30522,80.438564,2026-09-09 21:26:21.971882
D00994,16.299153,80.440682,2026-09-09 21:26:30.352824
D00921,16.305579,80.436083,2026-09-09 21:26:33.225325
D00222,16.308664,80.440939,2026-09-09 21:26:39.012941
D00654,16.29657,80.439932,2026-09-09 21:27:13.708234
D00104,16.306822,80.439055,2026-09-09 21:27:25.820720
D00164,16.307322,80.437818,2026-09-09 21:27:28.917601
D00417,16.301524,80.438468,2026-09-09 21:27:32.333096
D00581,16.310967,80.440129,2026-09-09 21:27:35.592752
D00434,16.301513,80.440238,2026-09-09 21:28:03.357245
D00012,16.304478,80.440425,2026-09-09 21:28:07.656438
D00114,16.30789,80.440247,2026-09-09 21:28:09.835841
D00969,16.307997,80.450502,2026-09-09 21:28:14.313713
D00404,16.304663,80.43696,2026-09-09 21:28:16.313048
D00332,16.30716,80.440258,2026-09-09 21:28:20.197714
D00002,16.304355,80.436318,2026-09-09 21:28:20.625616
D00248,16.309161,80.439421,2026-09-09 21:28:31.053874
D00095,16.319731,80.435663,2026-09-09 21:28:38.804689
D00084,16.311729,80.438362,2026-09-09 21:28:40.783610
D00760,16.302792,80.437412,2026-09-09 21:28:42.917185
D00938,16.300164,80.441604,2026-09-09 21:28:49.256637
D00477,16.305989,80.436937,2026-09-09 21:29:00.422346
D00963,16.304015,80.429235,2026-09-09 21:29:04.301200
D00863,16.304745,80.433329,2026-09-09 21:29:31.118594
D00810,16.30536,80.428275,2026-09-09 21:29:36.020825
D00031,16.309007,80.434877,2026-09-09 21:29:43.688971
D00465,16.297574,80.441951,2026-09-09 21:29:53.404315
D00123,16.302827,80.433483,2026-09-09 21:29:57.850412
D00973,16.299586,80.441094,2026-09-09 21:30:13.319227
D00593,16.310788,80.433469,2026-09-09 21:30:15.612308
D00965,16.31999,80.43828,2026-09-09 21:30:18.305703
D00164,16.310029,80.44057,2026-09-09 21:30:23.917601
D00042,16.289249,80.459042,2026-09-09 21:30:36.710299
D00954,16.310192,80.432866,2026-09-09 21:30:49.285662
D00550,16.31229,80.423726,2026-09-09 21:30:51.543808
D00909,16.310231,80.438868,2026-09-09 21:31:00.201777
D00277,16.305953,80.442672,2026-09-09 21:31:51.105504
D00728,16.316259,80.425573,2026-09-09 21:31:59.855663
